Gene,Screen 1 P value,Screen 2 P value,Fisher P value,Fisher P adjusted value,Screen 1 log2 Fold Enrichment,Screen 2 log2 Fold Enrichment,Combined log2 Fold Enrichment,Fold Enrichment,Screen 1 'Good' sgRNAs,Screen 2 'Good' sgRNAs
FTSJ2,0.0019486,0.031348,6.538048864739827e-4,0.016086067395510818,0.91175,0.60931,0.7605299999999999,1.6941128732886344,4,2
SENP1,0.0020806,0.089953,0.0017936240826384898,0.02542267178000642,0.86161,0.65654,0.7590749999999999,1.6924051723542344,3,2
MTFMT,0.0081208,0.031394,0.002364472894352217,0.03051920394480068,0.78435,0.73228,0.7583150000000001,1.6915138618784746,3,3
RABIF,0.0012358,0.040491,5.45558398053129e-4,0.015136343639601707,0.5984,0.91541,0.7569049999999999,1.6898614895021886,2,2
TMEM39A,0.0018916,0.045361,8.892331527095609e-4,0.018672629733114014,0.89102,0.61968,0.75535,1.6880410639052474,3,2
UXT,0.026983,0.025735,0.005744452466612549,0.04507040880368939,0.71186,0.79862,0.75524,1.6879123621123677,3,3
ZNF774,0.16377,0.0058869,0.007659098030528658,0.051626485202032286,0.44299,1.0657,0.754345,1.6868655621789908,3,3
NDUFC1,0.10917,5.8286e-5,8.249735095643853e-5,0.005122692649866469,0.31373,1.1942,0.753965,1.6864213071678447,2,4
DIS3,0.022709,0.049893,0.008818146761231204,0.0555500646214758,0.95756,0.54916,0.75336,1.6857142478368503,3,2
MRPL41,0.024921,0.013357,0.0029984109578360574,0.033558034956103995,0.40847,1.0971,0.752785,1.6850425240618137,2,3
SP110,0.0090231,0.031911,0.002635413826912397,0.03272932981232158,0.77529,0.72673,0.75101,1.682970629993803,3,3
MRPL53,0.02403,0.0026136,6.70471404312702e-4,0.016190642800440063,0.64525,0.85182,0.748535,1.6800859029234043,4,4
OR5A1,0.17485,0.0053862,0.007503836684617643,0.05096355748302816,0.30488,1.1913,0.74809,1.679567759509323,3,2
SGSM3,0.020477,0.034097,0.005772053888202552,0.04507040880368939,0.69848,0.78839,0.7434350000000001,1.674157199516557,3,3
SUSD1,0.19851,0.0064431,0.009799416345891925,0.058349036141749175,0.21899,1.2631,0.741045,1.671386050274432,2,3
RHOU,0.001034,0.17521,0.0017421196188263524,0.02496399981263257,0.99272,0.48896,0.74084,1.6711485712588257,4,2
MTG1,2.3802e-4,0.095506,2.657801790833003e-4,0.010193451574253635,1.2558,0.21911,0.737455,1.6672321463648998,3,2
MRPS11,0.029533,0.010259,0.0027576689017201027,0.032809172004510376,0.79313,0.66869,0.73091,1.6596856313729837,3,2
