Gene,Screen 1 P value,Screen 2 P value,Fisher P value,Screen 1 log2 Fold Enrichment,Screen 2 log2 Fold Enrichment,Combined log2 Fold Enrichment,Fold Enrichment,Screen 1 'Good' sgRNAs,Screen 2 'Good' sgRNAs
HELZ2,0.44373,0.15444,0.2522226379883273,0.080684,0.15586,0.118272,1.0854339960115034,2,2
MYRFL,0.27042,0.15091,0.17135124007274619,0.1858,0.047637,0.1167185,1.084265825243912,2,2
PDE5A,0.39876,0.10744,0.17780686520637903,-0.077015,0.31021,0.11659749999999999,1.0841748908055684,2,2
EIF3G,0.52562,0.18931,0.3291177845091136,-0.059868,0.28682,0.11347600000000001,1.081831642037471,2,2
PC,0.49057,0.18295,0.30611224408816357,0.022414,0.19956,0.11098699999999999,1.0799668283015296,2,2
CIAO1,0.15832,0.033051,0.0327188274505689,-0.12674,0.34782,0.11054000000000001,1.0796322666788811,2,2
POLR3A,0.25294,0.076744,0.09592999210676834,-0.023928,0.24445,0.110261,1.0794234988729212,2,2
PARVG,0.54684,0.16935,0.3129560626187243,0.017597,0.20108,0.1093385,1.0787335055921659,2,2
OR10D3,0.25184,0.15782,0.1679346590976867,0.20295,0.0068491,0.10489955,1.0754195100096429,3,2
AKR1B1,0.37776,0.1673,0.2377216251832041,0.042244,0.157,0.099622,1.0714926843482748,2,2
BLVRB,0.16731,0.099703,0.0849656867449656,0.29218,-0.099188,0.096496,1.0691735109544651,3,2
SYT15,0.46768,0.15172,0.25868504025911065,0.049694,0.14274,0.096217,1.0689667655514594,2,2
C1QL2,0.39486,0.13712,0.21203143421766316,-0.10422,0.29301,0.094395,1.067617604400173,2,2
ATP7B,0.036285,0.20942,0.04467918075255675,0.16783,0.0085756,0.0882028,1.0630450963692257,2,2
APBB3,0.32058,0.052581,0.08568156978785584,0.038806,0.13625,0.08752800000000001,1.0625479884750242,2,2
ZBTB11,0.54804,0.10735,0.22550740256787122,0.18426,-0.010877,0.0866915,1.0619320830065642,2,2
RSG1,0.41132,0.19927,0.2869942500108549,-0.0049751,0.17151,0.08326744999999999,1.0594147131252498,2,2
HOXA7,0.42188,0.20182,0.29488825551062586,0.20276,-0.036827,0.0829665,1.0591937394636568,2,2
CNNM1,0.56926,0.19464,0.35456484441651553,-0.17418,0.33448,0.08015,1.0571279466360552,2,2
WDR93,0.19707,0.18107,0.15461887509000072,0.25841,-0.10192,0.07824499999999998,1.0557329881098976,2,2
PPWD1,0.043792,0.048813,0.015279833971788831,0.039089,0.10622,0.0726545,1.0516498974547106,2,2
GH2,0.55091,0.13641,0.2696574779463025,-0.077435,0.21938,0.0709725,1.0504245211030523,2,2
RPL28,0.059336,0.10828,0.038855070057001485,-0.237,0.3728,0.06790000000000002,1.0481898180171358,2,2
CHSY3,0.28987,0.070757,0.1002304327539676,-0.12386,0.25746,0.06680000000000001,1.0473909178225633,2,2
FAM3A,0.36738,0.17178,0.2374710633357411,0.098874,0.016638,0.057756,1.0408455467628714,2,2
TRPC1,0.0034523,0.12805,0.0038566143309700903,0.19452,-0.081384,0.056568,1.0399888060791418,2,2
SORCS1,0.23981,0.0046098,0.008630981890190846,-0.021196,0.1241,0.051452,1.036307390426887,2,2
SF3A3,0.69526,0.15763,0.3519029691942731,-0.051565,0.15035,0.049392500000000006,1.0348290791019963,3,3
CXXC1,0.50345,0.095276,0.19365348273877345,-0.17274,0.27068,0.048969999999999986,1.0345260689304023,2,2
RHOA,0.40783,0.046757,0.09457598635909147,0.23658,-0.15294,0.04182000000000001,1.0294116393418242,2,2
POLD3,0.23703,0.1698,0.1695515638974187,0.27191,-0.19578,0.03806499999999999,1.0267358038147156,3,2
DPPA3,0.57447,0.15345,0.30224714097869704,-0.20175,0.27706,0.03765499999999998,1.0264440568711977,2,2
PES1,0.4596,0.044362,0.09975760322988453,-0.0036869,0.071557,0.033935049999999994,1.0238008079713157,2,2
OR5AR1,0.36179,0.15643,0.21912593476477707,0.12091,-0.066256,0.027327000000000004,1.019122163781338,2,2
DYRK3,0.34619,0.20432,0.2580950482320274,0.13763,-0.087201,0.0252145,1.0176309823014058,2,2
GDF11,0.30806,0.19556,0.22949121983560242,-0.03846,0.073457,0.017498499999999997,1.0122028909902387,2,2
CASC3,0.41589,0.20561,0.29579232853696835,0.12392,-0.12551,-7.95000000000004e-4,0.9994490997927281,2,2
C7orf77,0.46406,0.15861,0.26564240316973436,0.14132,-0.15972,-0.0092,0.99364333555883,2,2
C11orf45,0.12307,0.14589,0.09013078770336508,-0.20964,0.18236,-0.01364,0.9905900259812944,2,2
NegCtrlIntron,0.96252,0.55761,0.8707037038081014,-0.04345,0.015848,-0.013801,0.9904794855753216,20,13
ADORA2B,0.56716,0.19146,0.3496754738527334,-0.14265,0.1051,-0.018775,0.9870704755335952,2,2
LPAR3,0.40942,0.13885,0.21985239615530314,-0.10933,0.028647,-0.0403415,0.9724247377385321,2,2
GTF2B,0.27653,0.07434,0.10041270478341797,0.065573,-0.15263,-0.04352849999999999,0.9702789640288256,2,2
EML1,0.25629,0.20862,0.21005594605824893,0.049292,-0.13872,-0.044714000000000004,0.9694819880865228,2,2
CT83,0.52508,0.081216,0.17718305141619858,-0.030814,-0.062123,-0.046468499999999996,0.9683036917522672,2,2
ADH1A,0.33105,0.15626,0.20493926470336304,-0.092587,-0.033785,-0.063186,0.9571480495684365,2,2
NegCtrl,0.66663,0.76694,0.8542560778298556,-0.09289,-0.07098,-0.08193500000000001,0.9447896071247057,134,56
CCNO,0.32716,0.14966,0.1966685033827233,-0.37413,0.1606,-0.10676500000000001,0.9286681103525704,2,2
SF3B3,0.31996,0.087841,0.1284928235227783,0.15504,-0.3779,-0.11143,0.9256700823956063,4,3
SPHK2,0.54723,0.13588,0.26760332293351435,-0.46066,0.21747,-0.12159500000000001,0.9191708811496203,2,2
