Gene,Screen 1 P value,Screen 2 P value,Fisher P value,Screen 1 log2 Fold Enrichment,Screen 2 log2 Fold Enrichment,Combined log2 Fold Enrichment,Fold Enrichment,Screen 1 'Good' sgRNAs,Screen 2 'Good' sgRNAs
C11orf96,0.54884,0.14464,0.2805006162693745,0.036932,0.49079,0.263861,1.200687738700545,2,2
HTN3,0.41677,0.058458,0.1148659933202973,0.24887,0.27658,0.262725,1.1997426710572439,2,2
GTF2IRD1,0.28454,0.1516,0.17873041853632704,0.22825,0.29719,0.26272,1.1997385130732,2,2
STAU1,0.30276,0.15398,0.18954101725163167,0.28723,0.23793,0.26258,1.1996220953704289,2,2
SH3BGRL3,0.30563,0.025794,0.04606277256091675,0.29007,0.23477,0.26242,1.1994890603998876,2,2
HILPDA,0.34337,0.17243,0.226569161860927,0.33739,0.18463,0.26101,1.1983173274134011,2,2
HIGD2B,0.4508,0.090527,0.17135280558730479,-0.10494,0.62281,0.25893499999999997,1.1965950499446694,2,2
BCAP31,0.29564,0.19034,0.21819829361403453,0.15082,0.36649,0.25865499999999997,1.1963628358637537,2,2
RAB6A,0.51346,0.14807,0.27192587599960977,0.15376,0.36286,0.25831000000000004,1.196076776911903,2,2
PNPLA5,0.51051,0.1611,0.28769274884707313,0.17153,0.34507,0.2583,1.1960684863681794,2,2
NMB,0.54408,0.15356,0.2909443335135923,-0.067318,0.58268,0.257681,1.19555541356714,2,2
DCAF4,0.33274,0.13546,0.18477537336992111,0.09952,0.41379,0.25665499999999997,1.1947054738717626,2,2
GBP7,0.38021,0.17289,0.2446724637946638,-0.050671,0.56288,0.2561045,1.1942496880807865,2,2
EDA2R,0.31965,0.017728,0.03498166526292852,0.050083,0.46079,0.2554365,1.1936968518212354,2,2
SVIP,0.40171,0.063978,0.11979669764330249,0.23247,0.27699,0.25473,1.1931124314561743,2,2
PPP1R17,0.48942,0.079417,0.16509596529089018,0.13529,0.37292,0.25410499999999997,1.1925956668261428,2,2
ST7,0.34118,0.21148,0.2618401470052306,0.14669,0.36009,0.25339,1.1920047625727146,2,2
TICRR,0.27359,0.10118,0.1269759961744791,-0.098278,0.60395,0.252836,1.191547116401036,2,2
ERF,0.17048,0.081048,0.07297966821309114,0.17716,0.3282,0.25268,1.1914182802329698,2,2
OR2A5,0.46683,0.095197,0.18281160374046618,0.17905,0.32502,0.252035,1.190885740082779,2,2
KRTAP5-1,0.44834,0.13869,0.23489950890899847,0.20971,0.2939,0.251805,1.1906958996243149,2,2
TMEM259,0.26468,0.17014,0.18465043047417942,0.11247,0.38998,0.251225,1.1902173058808503,2,2
VCY,0.56099,0.074557,0.17459078941132053,0.14732,0.35422,0.25077,1.1898419919923071,2,2
PDCD6IP,0.070824,0.19692,0.07353398608735409,-0.0015286,0.50251,0.2504907,1.189611665628917,2,2
ARL8B,0.48086,0.13719,0.2453108656265345,0.12468,0.37319,0.24893500000000002,1.1883295641771563,2,2
PCNA,0.13212,0.1399,0.0922492232092421,0.22744,0.26851,0.247975,1.187539087410854,3,2
THEG,0.4975,0.08865,0.18175966564010246,0.14002,0.35523,0.24762499999999998,1.1872510235750429,2,2
BLOC1S2,0.53133,0.043869,0.11092525006463236,0.039308,0.45418,0.246744,1.1865262350228665,2,2
ADGRF1,0.42126,0.19361,0.28598368859531276,0.13664,0.35572,0.24618,1.1860624710342036,2,2
IRF2BP1,0.45761,0.14282,0.24364064512308262,0.057335,0.43298,0.24515749999999997,1.1852221553887263,2,2
MGAT4D,0.37719,0.20012,0.27052026355201114,-0.022486,0.51239,0.244952,1.185053342299284,2,2
C1QTNF1,0.27902,0.19214,0.21047655563680817,0.070699,0.41839,0.2445445,1.1847186623918462,2,2
FAM124B,0.51557,0.12086,0.2352646831027755,0.10548,0.38328,0.24438000000000001,1.1845835852590254,2,2
ORAI3,0.34914,0.066675,0.11081243959371104,0.21581,0.27213,0.24397,1.1842469858738118,2,2
GFPT2,0.3332,0.18159,0.23022550650459261,0.20242,0.28382,0.24312,1.1835494625352385,2,2
CPXM2,0.47726,0.045352,0.10460870230648395,0.019999,0.46475,0.2423745,1.182938031727717,2,2
C9orf50,0.19994,0.1694,0.14852703630620634,0.35284,0.13036,0.24159999999999998,1.1823031507584474,3,2
PIGN,0.070346,0.21049,0.07718433180187441,-0.06011,0.54271,0.24130000000000001,1.1820573232898712,2,2
CERS2,0.17255,0.11933,0.10054145568714311,0.40415,0.076493,0.24032150000000002,1.181255871213503,3,2
LPL,0.01671,0.14229,0.01674265776602573,0.18335,0.29581,0.23958000000000002,1.1806488987422838,2,2
DGKB,0.14846,0.18196,0.12457157164853085,0.04272,0.43539,0.239055,1.1802193360923536,2,2
ALX1,0.47967,0.062399,0.1349544535336582,0.15263,0.32508,0.23885499999999998,1.1800557342915774,2,2
NELFCD,0.42632,0.15255,0.2427648960576954,-0.21585,0.69086,0.23750500000000002,1.178952015162059,2,2
RAB3GAP1,0.25706,0.10578,0.12521390797715076,0.3023,0.17205,0.23717500000000002,1.1786823742043209,2,2
SIRT4,0.5712,0.041399,0.11219404871628946,0.058622,0.4143,0.236461,1.178099180269409,2,2
TEX15,0.53769,0.13152,0.25805120277157145,0.13264,0.33936,0.236,1.1777227895949816,2,2
PRR23D2,0.32987,0.085905,0.12932008109746732,0.094057,0.37773,0.2358935,1.1776358531017437,2,2
